path,emotion,actor
../dataset\Actor_02\03-01-04-01-02-01-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-01-02-02-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-02-01-01-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-02-01-02-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-02-02-01-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-02-02-02-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-05-01-01-01-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-01-01-02-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-01-02-01-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-01-02-02-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-02-01-01-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-02-01-02-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-02-02-01-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-05-02-02-02-02.wav,angry,Actor_02
../dataset\Actor_02\03-01-06-01-01-01-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-01-01-02-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-01-02-01-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-01-02-02-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-02-01-01-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-02-01-02-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-02-02-01-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-06-02-02-02-02.wav,fearful,Actor_02
../dataset\Actor_02\03-01-07-01-01-01-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-01-01-02-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-01-02-01-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-01-02-02-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-02-01-01-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-02-01-02-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-02-02-01-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-07-02-02-02-02.wav,disgust,Actor_02
../dataset\Actor_02\03-01-08-01-01-01-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-01-01-02-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-01-02-01-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-01-02-02-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-02-01-01-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-02-01-02-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-02-02-01-02.wav,surprised,Actor_02
../dataset\Actor_02\03-01-08-02-02-02-02.wav,surprised,Actor_02
../dataset\Actor_03\03-01-01-01-01-01-03.wav,neutral,Actor_03
../dataset\Actor_03\03-01-01-01-01-02-03.wav,neutral,Actor_03
../dataset\Actor_03\03-01-01-01-02-01-03.wav,neutral,Actor_03
../dataset\Actor_03\03-01-01-01-02-02-03.wav,neutral,Actor_03
../dataset\Actor_03\03-01-02-01-01-01-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-01-01-02-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-01-02-01-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-01-02-02-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-02-01-01-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-02-01-02-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-02-02-01-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-02-02-02-02-03.wav,calm,Actor_03
../dataset\Actor_03\03-01-03-01-01-01-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-01-01-02-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-01-02-01-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-01-02-02-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-02-01-01-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-02-01-02-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-02-02-01-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-03-02-02-02-03.wav,happy,Actor_03
../dataset\Actor_03\03-01-04-01-01-01-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-01-01-02-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-01-02-01-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-01-02-02-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-02-01-01-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-02-01-02-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-02-02-01-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-04-02-02-02-03.wav,sad,Actor_03
../dataset\Actor_03\03-01-05-01-01-01-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-01-01-02-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-01-02-01-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-01-02-02-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-02-01-01-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-02-01-02-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-02-02-01-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-05-02-02-02-03.wav,angry,Actor_03
../dataset\Actor_03\03-01-06-01-01-01-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-01-01-02-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-01-02-01-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-01-02-02-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-02-01-01-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-02-01-02-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-02-02-01-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-06-02-02-02-03.wav,fearful,Actor_03
../dataset\Actor_03\03-01-07-01-01-01-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-01-01-02-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-01-02-01-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-01-02-02-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-02-01-01-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-02-01-02-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-02-02-01-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-07-02-02-02-03.wav,disgust,Actor_03
../dataset\Actor_03\03-01-08-01-01-01-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-01-01-02-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-01-02-01-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-01-02-02-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-02-01-01-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-02-01-02-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-02-02-01-03.wav,surprised,Actor_03
../dataset\Actor_03\03-01-08-02-02-02-03.wav,surprised,Actor_03
../dataset\Actor_04\03-01-01-01-01-01-04.wav,neutral,Actor_04
../dataset\Actor_04\03-01-01-01-01-02-04.wav,neutral,Actor_04
../dataset\Actor_04\03-01-01-01-02-01-04.wav,neutral,Actor_04
../dataset\Actor_04\03-01-01-01-02-02-04.wav,neutral,Actor_04
../dataset\Actor_04\03-01-02-01-01-01-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-01-01-02-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-01-02-01-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-01-02-02-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-02-01-01-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-02-01-02-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-02-02-01-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-02-02-02-02-04.wav,calm,Actor_04
../dataset\Actor_04\03-01-03-01-01-01-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-01-01-02-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-01-02-01-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-01-02-02-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-02-01-01-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-02-01-02-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-02-02-01-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-03-02-02-02-04.wav,happy,Actor_04
../dataset\Actor_04\03-01-04-01-01-01-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-01-01-02-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-01-02-01-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-01-02-02-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-02-01-01-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-02-01-02-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-02-02-01-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-04-02-02-02-04.wav,sad,Actor_04
../dataset\Actor_04\03-01-05-01-01-01-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-01-01-02-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-01-02-01-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-01-02-02-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-02-01-01-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-02-01-02-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-02-02-01-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-05-02-02-02-04.wav,angry,Actor_04
../dataset\Actor_04\03-01-06-01-01-01-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-01-01-02-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-01-02-01-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-01-02-02-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-02-01-01-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-02-01-02-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-02-02-01-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-06-02-02-02-04.wav,fearful,Actor_04
../dataset\Actor_04\03-01-07-01-01-01-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-01-01-02-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-01-02-01-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-01-02-02-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-02-01-01-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-02-01-02-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-02-02-01-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-07-02-02-02-04.wav,disgust,Actor_04
../dataset\Actor_04\03-01-08-01-01-01-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-01-01-02-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-01-02-01-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-01-02-02-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-02-01-01-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-02-01-02-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-02-02-01-04.wav,surprised,Actor_04
../dataset\Actor_04\03-01-08-02-02-02-04.wav,surprised,Actor_04
../dataset\Actor_05\03-01-01-01-01-01-05.wav,neutral,Actor_05
../dataset\Actor_05\03-01-01-01-01-02-05.wav,neutral,Actor_05
../dataset\Actor_05\03-01-01-01-02-01-05.wav,neutral,Actor_05
../dataset\Actor_05\03-01-01-01-02-02-05.wav,neutral,Actor_05
../dataset\Actor_05\03-01-02-01-01-01-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-01-01-02-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-01-02-01-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-01-02-02-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-02-01-01-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-02-01-02-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-02-02-01-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-02-02-02-02-05.wav,calm,Actor_05
../dataset\Actor_05\03-01-03-01-01-01-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-01-01-02-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-01-02-01-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-01-02-02-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-02-01-01-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-02-01-02-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-02-02-01-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-03-02-02-02-05.wav,happy,Actor_05
../dataset\Actor_05\03-01-04-01-01-01-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-01-01-02-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-01-02-01-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-01-02-02-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-02-01-01-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-02-01-02-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-02-02-01-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-04-02-02-02-05.wav,sad,Actor_05
../dataset\Actor_05\03-01-05-01-01-01-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-01-01-02-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-01-02-01-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-01-02-02-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-02-01-01-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-02-01-02-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-02-02-01-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-05-02-02-02-05.wav,angry,Actor_05
../dataset\Actor_05\03-01-06-01-01-01-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-01-01-02-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-01-02-01-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-01-02-02-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-02-01-01-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-02-01-02-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-02-02-01-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-06-02-02-02-05.wav,fearful,Actor_05
../dataset\Actor_05\03-01-07-01-01-01-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-01-01-02-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-01-02-01-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-01-02-02-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-02-01-01-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-02-01-02-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-02-02-01-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-07-02-02-02-05.wav,disgust,Actor_05
../dataset\Actor_05\03-01-08-01-01-01-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-01-01-02-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-01-02-01-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-01-02-02-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-02-01-01-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-02-01-02-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-02-02-01-05.wav,surprised,Actor_05
../dataset\Actor_05\03-01-08-02-02-02-05.wav,surprised,Actor_05
../dataset\Actor_06\03-01-01-01-01-01-06.wav,neutral,Actor_06
../dataset\Actor_06\03-01-01-01-01-02-06.wav,neutral,Actor_06
../dataset\Actor_06\03-01-01-01-02-01-06.wav,neutral,Actor_06
../dataset\Actor_06\03-01-01-01-02-02-06.wav,neutral,Actor_06
../dataset\Actor_06\03-01-02-01-01-01-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-01-01-02-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-01-02-01-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-01-02-02-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-02-01-01-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-02-01-02-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-02-02-01-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-02-02-02-02-06.wav,calm,Actor_06
../dataset\Actor_06\03-01-03-01-01-01-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-01-01-02-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-01-02-01-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-01-02-02-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-02-01-01-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-02-01-02-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-02-02-01-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-03-02-02-02-06.wav,happy,Actor_06
../dataset\Actor_06\03-01-04-01-01-01-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-01-01-02-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-01-02-01-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-01-02-02-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-02-01-01-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-02-01-02-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-02-02-01-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-04-02-02-02-06.wav,sad,Actor_06
../dataset\Actor_06\03-01-05-01-01-01-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-01-01-02-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-01-02-01-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-01-02-02-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-02-01-01-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-02-01-02-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-02-02-01-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-05-02-02-02-06.wav,angry,Actor_06
../dataset\Actor_06\03-01-06-01-01-01-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-01-01-02-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-01-02-01-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-01-02-02-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-02-01-01-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-02-01-02-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-02-02-01-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-06-02-02-02-06.wav,fearful,Actor_06
../dataset\Actor_06\03-01-07-01-01-01-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-01-01-02-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-01-02-01-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-01-02-02-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-02-01-01-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-02-01-02-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-02-02-01-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-07-02-02-02-06.wav,disgust,Actor_06
../dataset\Actor_06\03-01-08-01-01-01-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-01-01-02-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-01-02-01-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-01-02-02-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-02-01-01-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-02-01-02-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-02-02-01-06.wav,surprised,Actor_06
../dataset\Actor_06\03-01-08-02-02-02-06.wav,surprised,Actor_06
../dataset\Actor_07\03-01-01-01-01-01-07.wav,neutral,Actor_07
../dataset\Actor_07\03-01-01-01-01-02-07.wav,neutral,Actor_07
../dataset\Actor_07\03-01-01-01-02-01-07.wav,neutral,Actor_07
../dataset\Actor_07\03-01-01-01-02-02-07.wav,neutral,Actor_07
../dataset\Actor_07\03-01-02-01-01-01-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-01-01-02-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-01-02-01-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-01-02-02-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-02-01-01-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-02-01-02-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-02-02-01-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-02-02-02-02-07.wav,calm,Actor_07
../dataset\Actor_07\03-01-03-01-01-01-07.wav,happy,Actor_07
